Gaussians,Feature,N_filters,Deltas,VAD,PCA,Accuracy
2,mf,13,,no_vad,0,0.52
4,mf,13,,no_vad,0,0.5066666666666667
4,mf,13,,vad,0,0.5066666666666667
4,mf,13,no_deltas,,0,0.49333333333333335
4,mf,13,no_deltas,vad,0,0.44
4,mf,13,one_delta,,0,0.48
4,mf,20,,no_vad,0,0.4533333333333333
8,mf,20,,vad,0,0.37333333333333335
8,mf,20,,no_vad,0,0.4533333333333333
16,mf,13,,no_vad,0,0.48
32,mf,13,,no_vad,0,0.49333333333333335
64,mf,13,,no_vad,0,0.48
64,mf,20,,no_vad,0,0.4533333333333333
64,mf,20,,vad,0,0.41333333333333333
2,fbanks,80,,,0,0.37333333333333335
2,fbanks,40_imp_PCA,,,20,0.49333333333333335
4,fbanks,40_imp_PCA,,,20,0.49333333333333335
8,fbanks,40_imp_PCA,,,20,0.48
16,fbanks,40_imp_PCA,,,20,0.5333333333333333, with PN and L2
32,fbanks,40_imp_PCA,,,20,0.48
64,fbanks,40_imp_PCA,,,20,0.48
16,fbanks,40_imp_PCA,,,20,0.48, without PowerNorm
16,fbanks,40_imp_PCA,,,20,0.52, without L2 Norm
128,fbanks,40_imp_PCA,,,20,0.4666666666666667
Normal
2,fbanks,40_imp,,,20,0.4666666666666667

4,fbanks,40_imp,,,20,0.48

8,fbanks,40_imp,,,20,0.4666666666666667

16,fbanks,40_imp,,,20,0.4533333333333333

32,fbanks,40_imp,,,20,0.44

64,fbanks,40_imp,,,20,0.4533333333333333

128,fbanks,40_imp,,,20,0.48

ONE DELTA
2,fbanks,40_imp_1delta,,,20,0.4666666666666667

4,fbanks,40_imp_1delta,,,20,0.4666666666666667

8,fbanks,40_imp_1delta,,,20,0.48

16,fbanks,40_imp_1delta,,,20,0.48

32,fbanks,40_imp_1delta,,,20,0.4666666666666667

64,fbanks,40_imp_1delta,,,20,0.4666666666666667

128,fbanks,40_imp_1delta,,,20,0.48

TWO DELTAS
2,fbanks,40_imp_2deltas,,,20,0.4666666666666667

4,fbanks,40_imp_2deltas,,,20,0.48

8,fbanks,40_imp_2deltas,,,20,0.48

16,fbanks,40_imp_2deltas,,,20,0.4666666666666667

PCA
2,fbanks,40_imp_PCA,,,20,0.4666666666666667

4,fbanks,40_imp_PCA,,,20,0.4266666666666667

8,fbanks,40_imp_PCA,,,20,0.4266666666666667

16,fbanks,40_imp_PCA,,,20,0.4266666666666667

32,fbanks,40_imp_PCA,,,20,0.44

64,fbanks,40_imp_PCA,,,20,0.44

128,fbanks,40_imp_PCA,,,20,0.44

2,fbanks,40_imp_PCA_1delta,,,20,0.4266666666666667

4,fbanks,40_imp_PCA_1delta,,,20,0.4533333333333333

8,fbanks,40_imp_PCA_1delta,,,20,0.4533333333333333

16,fbanks,40_imp_PCA_1delta,,,20,0.44

32,fbanks,40_imp_PCA_1delta,,,20,0.4533333333333333

64,fbanks,40_imp_PCA_1delta,,,20,0.4533333333333333

128,fbanks,40_imp_PCA_1delta,,,20,0.4533333333333333

2,fbanks,40_imp_PCA_2delta,,,20,0.41333333333333333

4,fbanks,40_imp_PCA_2delta,,,20,0.4533333333333333

8,fbanks,40_imp_PCA_2delta,,,20,0.4533333333333333

16,fbanks,40_imp_PCA_2delta,,,20,0.4266666666666667

32,fbanks,40_imp_PCA_2delta,,,20,0.4666666666666667

64,fbanks,40_imp_PCA_2delta,,,20,0.48

128,fbanks,40_imp_PCA_2delta,,,20,0.49333333333333335

16,fbanks,40_imp_PCA_SP2,,,20,0.5333333333333333

16,fbanks,40_imp_PCA_SP2,,,20,0.38666666666666666
16,fbanks,40_imp_PCA_SP2,,,20,0.38666666666666666
16,fbanks,40_imp_PCA_SP2,,,20,0.4533333333333333
16,fbanks,40_imp_PCA_SP2,,,20,0.38666666666666666
16,fbanks,40_imp_PCA_SP2,,,20,0.38666666666666666
16,fbanks,40_imp_PCA_SP2,,,20,0.36
16,fbanks,40_imp_PCA_SP2,,,20,0.38666666666666666
2,fb,40_aug,,,20,0.4666666666666667
4,fb,40_aug,,,20,0.4266666666666667
8,fb,40_aug,,,20,0.4533333333333333
16,fb,40_aug,,,20,0.44
32,fb,40_aug,,,20,0.41333333333333333
64,fb,40_aug,,,20,0.4266666666666667
128,fb,40_aug,,,20,0.44
